,area,eccentricity,perimeter,euler_number,orientation,solidity,area_bbox,area_convex,axis_major_length,axis_minor_length,firs_hu_moment,second_hu_moment,discrete_compactness,discrete_tortuosity,label
83,1957438.0,0.86224542088773525883,16332.393026590250884,-30.5,1.5054499729057122526,0.896223015736022699,3049640.0,2184097.0,2263.6275418206896575,1146.5063093057667629,0.00082180251323052844626,6.3821963340076037655e-08,0.99862785256105524034,0.5366974921630094375,1.0
84,2223057.0,0.8533425652220163471,10058.82567879263479,-4.0,1.5466304875027283572,0.90959853485968478193,3403180.0,2443998.0,2380.8213675813708505,1241.2426901746889598,0.0009329488207382571549,8.320827086735768785e-08,0.9995391924145847762,0.53282014388489207235,1.0
85,1917142.0,0.8490960342423492513,17248.143422696943162,-31.333333333333332149,1.5255867204965536388,0.9419354838709677047,3013245.0,2117367.0,2184.1769949855588493,1162.7033232970616154,0.00082092473271723497875,6.392797653731957936e-08,0.99847223634448789564,0.52624351794233559243,1.0
86,2315444.0,0.8175265778947169437,10316.146529966554226,-1.0,1.3192510176775926745,0.8794519653026823258,3608107.0,2632826.0,2344.9735732124950118,1350.4488717874419308,0.0009329362560894840237,8.350709846463519114e-08,0.99954303638133790155,0.5221265206812651938,1.0
87,1603920.0,0.8746212483777254798,8383.9199077328630665,-8.5,1.5049086420436679212,1.0,2388114.0,1708803.0,2075.458817928431472,1006.1966305892690343,0.00079805583121718209547,6.0691227075321558e-08,0.9994824087604413654,0.52332353661523389743,1.0
88,1880892.0,0.8480589004377122597,10939.60951676420882,-38.0,-1.5592919079952363148,0.9353446303858754529,2747056.0,2010908.0,2147.902432922076514,1138.177737825734539,0.00083585994024595563264,6.766606076989835297e-08,0.9992745776452282014,0.52769931662870162015,1.0
89,1701915.0,0.82976009707529208015,8110.4813075528509216,-2.5,1.4147492180139822349,0.9258917729700087973,2634340.0,1838136.0,2020.4260165966336444,1127.6406152817173734,0.0008286215700440647744,7.7933841248464191724e-08,0.99957486446952015235,0.52569013432144506837,1.0
90,1433444.0,0.8804968550803021765,8811.861033229817622,-17.0,1.5415154031859421568,0.90312638214921603375,2208480.0,1587202.0,2029.4040040820975719,962.04300444596333364,0.00076955750096219439384,5.80214261859919353e-08,0.9992978164887265091,0.51776115859449189927,1.0
91,1498853.0,0.87758190668496616205,6691.0688270940318034,-6.0,1.5531676769319184839,0.9469103309899373766,2149938.0,1582888.0,2029.5263999604308083,973.00922151178281183,0.00079002534979465111574,5.9512231190836246387e-08,0.9997005327964868515,0.51717529770146775103,1.0
92,1983283.0,0.88996210792778651655,9465.095664690223202,-30.0,1.5545498059413311864,0.9292393600173920465,3162086.0,2134308.0,2387.0670880392590334,1088.5848969206010679,0.00083185469219676662876,6.41306714835187173e-08,0.9995166278152231021,0.51938954108858059744,1.0
93,1449903.0,0.88036053226937560634,7059.8770516832446447,-3.0,-1.5599804144815121454,0.9131947199957675121,2326773.0,1587726.0,2028.1520504171398898,961.96287249760132454,0.00080203769020048792764,6.381414053887797682e-08,0.99961285944912470214,0.5196073036518258359,1.0
94,1852092.0,0.8919227813386078063,14532.548042605831142,-61.0,1.537468032805121787,0.9055316336064623828,2900800.0,2045309.0,2328.6164994329037654,1052.9718320067418063,0.0008114017950790387455,6.23859884872321677e-08,0.9987722575353867871,0.5350816363969912448,1.0
95,1645311.0,0.87574448719481257086,8306.5431406487259665,-3.0,1.5120572771382083666,0.9375,2382458.0,1786083.0,2078.8505653166271259,1039.6889751728676856,0.0007957600724637949041,6.079634486654138762e-08,0.9995171805178212354,0.520442278860569707,1.0
